"omega","alpha","gamma","sigma","psi","g","R0IN","qua","quawh","qualow","rho","kappa","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","loglik","loglik.se"
0.715789473684211,1,0.334818959208905,0.186798267280532,0.923028388972668,9.7,1.7872074914661,0.435518093916738,0.261857614755871,0.000360121409886556,1,0.906897699377534,0.968647791714523,0.981397248578656,0.953959429029002,0.971161179630343,0.985143499993392,0.962162981046531,0.952172971120964,0.969033582857556,0.925788036490858,0.885925571756068,0.994559863256483,0.877266086373524,0.96967644948815,0.96763527196586,0.963903462642213,0.958829321796081,0.972378047305228,1.28750494635908e-06,1.04163184385149e-05,2.76995582363308e-06,3.18840156350458e-06,6.98472849461516e-05,9.40331652980794e-07,6.26108038232056e-06,4.55410701939558e-05,9.78036723830555e-06,4.36357609073424e-06,1.11320825384715e-06,0.0160784513401958,3.42957479994448e-06,3.99740040137335e-06,9.36256823709111e-06,1.42267229529906e-06,7.28891284715247e-06,4.60533827503623e-07,2.39545012743252e-06,4.86139394342863e-06,8.31877818557807e-06,8.41465758454495e-06,3.7444846967225e-07,8.57958357387102e-07,6.32790637524938e-06,7.80784570260616e-07,6.13682065059212e-05,4.03655177461543e-06,8.68237661761066e-05,1.07282145993324e-06,6.87206217410681e-06,7.2444588156001e-06,1.70322820824674e-06,1.3383820379548e-05,1.30761768720347e-06,8.94459473891458e-07,1.84462405752794e-06,1.40466609400624e-06,2.06141255770789e-05,4.33343577696646e-06,2.44863779935616e-06,2.93340750957704e-06,5.92639507291246e-06,1.43761268536877e-05,5.47576827887366e-06,0.000214359311606248,2.12477011734613e-06,4.46322371108289e-06,1.7197891816589e-06,2.07238083711211e-06,3.84094918608081e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41847277141844e-07,1.38707173810173e-05,2.73139266251978e-06,2.14236239785494e-06,7.40526223842712e-06,4.01178872255065e-07,3.18361587686024e-06,1.53572449770596e-06,3.00874222245732e-05,8.28183729238499e-05,3.70646125781747e-06,3.00047589678579e-05,1.2890005829072e-06,1.29766214362929e-05,5.58491003292151e-06,1.9738230658792e-06,1.41946503409099e-05,-2933.70346242119,0
0.763157894736842,1,0.24364405501869,0.22295688442696,0.946769994809471,9.7,1.6449043826929,0.553569632576577,0.374061130156539,0.000105563549807691,1,0.210333905599268,0.961593700367645,0.978632349331536,0.924117257555578,0.961641801419683,0.987705507739046,0.975468260964185,0.972530475858594,0.961685123373424,0.960087186489355,0.91661603868238,0.977549170239339,0.903336912038127,0.956549554565657,0.984290613476995,0.97819452700692,0.957028533131892,0.968955258460877,1.65357940007403e-06,1.81815427922206e-05,2.54232629723459e-06,5.37085794145289e-06,2.67919120695581e-05,2.47757442949249e-06,6.09265605339075e-06,3.24830828913406e-05,7.19428420019817e-06,2.56342061798894e-06,1.51303668996601e-06,0.019479409824169,4.03337957186979e-06,2.84250691445849e-06,6.39845922895274e-06,2.31030885970839e-06,6.33451802568438e-06,1.14416304649124e-06,5.15637694693236e-06,3.81202567147012e-06,4.49171088542172e-06,2.67174895027165e-05,3.19646999275878e-07,7.91701049499572e-07,4.47724007416714e-06,1.96794045662498e-06,4.05825322824358e-05,3.83744117235001e-06,9.33676144489487e-05,1.80012491136278e-06,4.27773196028913e-06,1.0817074604244e-06,9.75754725062203e-07,5.33078488659006e-06,2.4923934995021e-06,1.0662922523161e-06,7.39853515869573e-06,1.46364576862265e-06,1.36177633787721e-05,2.23142493270711e-06,5.03339759781663e-06,2.23886044973164e-06,3.9180807603354e-06,3.99902592883302e-06,5.9942881860483e-06,0.000319228067906956,2.73663293284718e-06,7.36932721840765e-06,3.16194836782339e-06,2.72573175908738e-06,4.57672065612698e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37227363901032e-07,8.18935448129469e-06,2.6428923285355e-06,3.62359020946792e-06,5.90780379822747e-06,3.21593952491866e-07,4.7285237433938e-06,3.49304370796398e-07,2.78639649804802e-05,6.39634201489996e-05,2.76366519375905e-06,0.000112024883083285,1.12419763581396e-06,1.75049678981234e-05,4.7837791816853e-06,2.8496010653049e-06,2.22600395100502e-05,-1711.28929797332,0
0.747368421052632,1,0.33505176289744,0.244835237800365,0.956454811293105,9.7,1.20449703427844,0.511936665078478,0.348534623195164,6.53427529742864e-05,1,0.154782366772873,0.984115408715424,0.966705169053752,0.885425669859807,0.941963529014237,0.967520129743619,0.954037278974759,0.982000698748974,0.987547210162772,0.963493101438468,0.924186939972302,0.988129477318102,0.70847585770384,0.938001974709004,0.986961606769453,0.94339729892351,0.915144884874098,0.986316775442125,3.05519737895244e-06,1.96117283451561e-05,2.02845841381177e-06,1.44143793032483e-06,2.81758518051788e-05,1.64585804851974e-06,2.6798887960906e-06,1.08798153842638e-05,7.19064757433411e-06,7.19129873721245e-06,2.25284085339522e-06,0.0260312280330211,5.40464189376446e-06,1.7764875439226e-06,1.72304539804211e-05,8.49673738637075e-07,3.02141615618069e-06,7.56858727179437e-07,3.39859956612405e-06,9.11052120486944e-06,6.03715427460447e-06,1.90732403404305e-05,6.55071029644038e-07,5.49456647531317e-07,3.1609352581294e-06,1.88989085047801e-06,7.80660912662001e-05,2.21788549557532e-06,6.57837855453346e-05,2.22097333368551e-06,4.08508401891052e-06,2.79193455301584e-06,8.88643505019205e-07,8.45721275674657e-06,3.6962427818749e-06,1.64958636166647e-06,4.48758180575548e-06,2.31322137565886e-06,8.60687679782957e-06,1.05748932024367e-05,6.2670936237004e-06,6.10890177810775e-06,1.90084554889726e-06,2.20089789839984e-05,3.97547884596908e-06,0.000570880053142007,9.33774354101107e-07,1.3910257517769e-05,4.58932107489598e-06,2.15003813434825e-06,8.94338145589828e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7265444044535e-07,9.18197160284312e-06,2.94615505221937e-06,1.27413444215094e-06,4.03941950637128e-06,1.06254798227521e-06,1.50292463003734e-06,5.12986437005637e-07,4.19617306548122e-05,5.63867104593722e-05,1.84015584296718e-06,9.38660731521492e-05,6.06176194461992e-07,1.50693890308153e-05,2.58597694511748e-06,3.70368376709998e-06,2.70326129769296e-05,-2341.30444184353,0
0.747368421052632,1,0.237985486711845,0.227754455227687,0.904697007311837,9.7,1.49663237068711,0.563973752263675,0.352654277691809,9.07040160267878e-05,1,0.242177172401193,0.950755695821424,0.980373973881159,0.921139507337305,0.965911163169336,0.989605483772437,0.97716699794112,0.97008504841207,0.957981374954859,0.967153593717892,0.915690348417548,0.981633337287705,0.914491950149003,0.960383120779741,0.983869912716912,0.98208183990188,0.9526607296139,0.971474227426398,1.96447596753641e-06,1.45448150713575e-05,2.40166853204276e-06,4.88675182283268e-06,2.49579922361339e-05,2.5648081533628e-06,7.02891965085736e-06,2.17399696123708e-05,7.34098161655295e-06,3.25196866227291e-06,1.55156147945615e-06,0.0249020741997167,2.88149920707142e-06,2.77879250906628e-06,4.94057649609249e-06,2.2842691354962e-06,5.44849907463486e-06,8.02407782018774e-07,2.85020382006523e-06,3.39185522921162e-06,3.87752322142373e-06,3.25791882186736e-05,3.79871686650846e-07,9.50852797171802e-07,4.72722451177445e-06,2.41822434755714e-06,4.56628070830628e-05,5.00729124870272e-06,7.65013117448746e-05,2.03724403462653e-06,5.21595271296565e-06,1.57645553828008e-06,9.66621746952052e-07,6.5303876418221e-06,2.34028352374599e-06,1.2769874984022e-06,7.31344245784287e-06,1.75493203846413e-06,1.63466302992225e-05,3.50660855623833e-06,3.86328760869603e-06,1.87149241883663e-06,3.4419852005375e-06,4.48389837562394e-06,3.74197882234171e-06,0.000374012922058853,3.13230037284718e-06,7.82048764953396e-06,3.82669624484808e-06,2.12534002116795e-06,6.91919663979836e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35298110804303e-07,6.66202240331822e-06,3.45337689571691e-06,4.02360382365681e-06,5.79068941734102e-06,3.39642815400979e-07,5.28525065283382e-06,2.28104251291697e-07,2.95154071541348e-05,7.86447195122966e-05,2.4284643926416e-06,0.000147347542390062,1.13738309667625e-06,1.45100422187995e-05,6.49739309164355e-06,3.33184442248894e-06,1.7816043301936e-05,-1706.54764562446,0
0.747368421052632,1,0.323423123650546,0.139508697047414,0.911334152744242,9.7,1.47196619934823,0.496850678192489,0.274518008833023,0.000207953012572651,1,0.331250797522187,0.978548550181801,0.980928157256368,0.918697592811951,0.946366922337547,0.981541617719055,0.943765325812947,0.958868707022901,0.988959934662454,0.952017081166179,0.919688640664185,0.979379004566124,0.800081337008165,0.981027894192673,0.966936486678918,0.978647718938167,0.909821319568444,0.967317377021551,4.73538742230484e-07,1.62587380373527e-05,2.52920208550421e-06,1.7366096520158e-06,6.1257164948652e-05,1.27017572202604e-06,4.79037666522565e-06,9.27693406136209e-06,9.70589799641031e-06,7.12028593712662e-06,1.09332778420885e-06,0.0269762417672493,3.15943353124112e-06,3.29131193624393e-06,1.21773893331909e-05,2.10110163809581e-06,1.59214647711245e-06,5.87781627604804e-07,2.94177617569952e-06,7.48678066901804e-06,6.32242607761865e-06,2.14224306290621e-05,4.05514538697018e-07,1.13035798425674e-06,1.07391307072645e-05,1.31664097253244e-06,4.12744972311715e-05,3.64385981600927e-06,0.000167258753364738,2.67199446658738e-06,2.36192325532948e-06,2.08780479218329e-06,1.72008993466573e-06,1.57850477328995e-05,1.22990755727649e-06,1.2431895267746e-06,7.71164607421984e-06,2.15803494770367e-06,5.33774758168876e-06,4.58330888807642e-06,2.25334759748284e-06,1.11864911153417e-06,5.99650296185456e-06,2.52476844423485e-05,4.09688412605433e-06,0.000565505301544602,2.01008926395079e-06,5.21653328930638e-06,2.81942347578652e-06,2.74677449224311e-06,5.05608390644652e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23870179327451e-07,5.11153789064479e-06,2.78384965279471e-06,3.68779209668785e-06,6.95813762907367e-06,5.94385616382159e-07,4.5791003009864e-06,7.91810808040805e-07,2.25686311318485e-05,5.28133179971094e-05,2.35867672416811e-06,7.41028151908125e-05,1.0267292200651e-06,2.3742549740078e-05,4.99351874898581e-06,9.11704921430475e-07,1.31724118402537e-05,-1698.77991689076,0
0.810526315789474,1,0.312932323998811,0.163664769956236,0.92702010103103,9.7,1.5674072838889,0.468981955344101,0.268557413444417,0.000261203039437944,1,0.448121345451975,0.977165148539635,0.986328273124254,0.929153870447471,0.949018271705933,0.969360221700506,0.97077817573438,0.967798681613277,0.988297461590209,0.967530973480072,0.909337878103505,0.985253340958058,0.763787143141757,0.972400404191895,0.967734364768762,0.972548812451818,0.873604902487084,0.980937530206397,7.59998351980864e-07,2.28489366193599e-05,2.4829526818156e-06,3.04552452111553e-06,5.69406081417457e-05,9.62366150585428e-07,5.66253779837568e-06,9.63417711073967e-06,7.18324923456276e-06,9.62015167846201e-06,1.74956786577684e-06,0.0186491443222521,2.64634923728456e-06,3.79719503490264e-06,9.48528578707755e-06,2.17580214352299e-06,1.59123776908488e-06,7.01403914132079e-07,3.64572781118956e-06,8.57664089128625e-06,5.7182082668641e-06,1.9521003886756e-05,3.58901286091613e-07,1.12823094762851e-06,1.00378581419877e-05,1.63322408839239e-06,4.51121563871314e-05,4.87039550206706e-06,0.000169309372362935,1.81774798125972e-06,4.03045964262512e-06,2.03246918406077e-06,1.14341425095027e-06,1.42787071489235e-05,1.21347366956017e-06,1.07986234443142e-06,9.66438281409863e-06,2.85222733494134e-06,4.82789818124692e-06,4.31227715367667e-06,2.09375225689307e-06,1.27201291612327e-06,9.0287147497192e-06,2.73501233045526e-05,3.57003178147464e-06,0.000507627620508959,2.06655216469555e-06,7.40928475855182e-06,2.66153265946914e-06,4.19486389726428e-06,4.88126893641495e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77006424413612e-07,5.68556479018518e-06,2.87612563530903e-06,2.74703559339382e-06,6.73659041884569e-06,8.04094447260409e-07,5.13711335203206e-06,7.24921038903928e-07,2.8107342469349e-05,4.72008992363191e-05,2.89069550807671e-06,6.89644832288825e-05,1.35874270794955e-06,1.81872313165667e-05,6.18050126276211e-06,8.32456381971017e-07,1.47098015589506e-05,-1691.64218220512,0
0.778947368421053,1,0.243893004545994,0.221459118980772,0.913397442328177,9.7,1.67603349693816,0.525835301467294,0.345051576433661,0.000132381124498978,1,0.152996705659242,0.96243746063288,0.983677002230045,0.959744631217291,0.958991761147176,0.982701453260356,0.972033088761337,0.96634701401264,0.975624431293868,0.930955849644633,0.917885639892109,0.991080331435344,0.890933355569309,0.940983628349073,0.964076809396026,0.955836792423156,0.928962341702441,0.974011829055609,9.64912877903639e-07,9.32796798249455e-06,3.27944247978488e-06,1.20514154915264e-06,4.08358918461885e-05,1.05484367180603e-06,1.73109693576325e-06,1.69283548815515e-05,3.8002958855898e-06,7.44488233201153e-06,1.13887365529082e-06,0.0165454682357999,5.78988199544502e-06,1.49343076804484e-06,9.15532927044564e-06,5.32570366360391e-07,2.38490778662159e-06,5.92998347635606e-07,2.27454499436955e-06,8.81585854354536e-06,5.49913331456589e-06,8.70472847280756e-06,5.18163406994652e-07,7.02785297642584e-07,6.98063049769519e-06,3.29549172315832e-06,3.56847918424771e-05,2.77387555981567e-06,6.29746844034479e-05,5.22606397107857e-07,5.49036258143855e-06,1.32708670915973e-06,1.00675957059038e-06,1.68548462126967e-05,1.65583702214558e-06,9.21313311215514e-07,3.64565994985957e-06,8.88135921890825e-07,7.74792992547286e-06,5.32449114166763e-06,2.20652040459991e-06,1.92990437240425e-06,4.30948903333626e-06,1.48887976765391e-05,6.65842983188852e-06,0.000422990625841037,1.28477183958518e-06,9.76088921593405e-06,2.0795830903698e-06,1.59342821148331e-06,1.3117376137178e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38702935439992e-07,2.56607818808645e-06,1.80470246867726e-06,3.23674185028946e-06,6.48860648858906e-06,4.22110429600308e-07,2.76710805650084e-06,7.79462348609053e-07,2.21586675952752e-05,4.2902168107147e-05,1.29288515989842e-06,8.73617716289568e-05,1.27134738590728e-06,1.70795989769613e-05,2.48773918664953e-06,3.77817693515353e-06,3.28817757489469e-05,-1698.73881571062,0
0.747368421052632,1,0.335793449623526,0.182950766621225,0.984679994877521,9.7,1.72937388790615,0.456707434424454,0.28192945698348,0.000262572206718837,1,0.773662036912598,0.976031539850737,0.990675816120282,0.857567883966355,0.981145282210727,0.977268704131952,0.958784616242128,0.937316779501025,0.972962395935316,0.951078073014529,0.944961625684183,0.988860150307841,0.780075244310399,0.982763271512261,0.955684566453129,0.954665354916082,0.907920084859398,0.985634808396012,9.05570771521632e-07,3.15836509220618e-05,3.34470970321969e-06,2.32141764610587e-06,4.32013807074523e-05,1.4458644559996e-06,2.75340885650902e-06,8.87376065501993e-05,4.39118855438416e-06,6.52634547568557e-06,3.03814120530519e-06,0.0142034410683906,5.70518418785172e-06,6.59072930759078e-06,1.07554787336076e-05,1.29272346980188e-06,3.0368177698622e-06,9.41920123888741e-07,1.85232069437776e-06,9.25787943339013e-06,5.74541144664491e-06,1.632299350353e-05,8.88219204104301e-07,2.76466165412492e-07,6.85897987855223e-06,1.42898590735129e-06,5.44726339349624e-05,4.87255348547228e-06,0.000149596007239618,8.40311621371157e-07,1.72244157468927e-06,3.64753069113068e-06,4.53208539160906e-07,9.3086686681706e-06,4.91688572726241e-06,2.37390748216027e-06,4.93578111496001e-06,8.20573188256816e-07,4.39289649991783e-06,5.40477736112966e-06,1.01491516116445e-05,3.99670855570931e-06,6.63895796221756e-06,1.57771099031528e-05,2.2180691778283e-06,0.000181231906127988,1.5210188217223e-06,1.10829738573008e-05,6.15193186071742e-06,1.18205738099426e-06,3.04010775225583e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46650935363012e-07,3.78902337273663e-06,1.87618843731879e-06,1.84099137724984e-06,9.97546464957177e-06,7.49140938139518e-07,2.63662626663702e-06,7.98594414978403e-07,3.24606301463113e-05,3.39294026947138e-05,3.19536175641183e-06,5.56708388150328e-05,8.24917838938095e-07,1.1660229517067e-05,4.14576220748585e-06,1.01698149740258e-06,1.44005754285493e-05,-1706.97696623536,0
0.7,1,0.252711143367187,0.207865941921724,0.975007411239791,9.7,1.60242831297515,0.567571752674835,0.366259160065897,8.97435341294227e-05,1,0.329050583261188,0.950017435566134,0.982781094157516,0.936809400228409,0.966553365376403,0.988127133982975,0.974612547686868,0.964705749131858,0.962063479517695,0.965065181284098,0.8833050180975,0.978241916460749,0.911889085713068,0.967331677663726,0.980130564875444,0.974116068211506,0.937542665693071,0.963139937706232,1.87073606423325e-06,1.56328255890471e-05,3.17483370878634e-06,5.01263341170987e-06,1.7833322730663e-05,2.42378218349835e-06,7.0973724843073e-06,3.02043628208331e-05,7.36904471845955e-06,3.44052711840969e-06,1.63248088462025e-06,0.0216863788642529,3.9107099419942e-06,2.77601256363251e-06,6.45291277696659e-06,1.97720755298111e-06,7.51569415949453e-06,1.29057879820789e-06,4.20130769767481e-06,4.12623441946474e-06,5.90518992215497e-06,3.9928077416567e-05,5.93402670803529e-07,8.10573816919806e-07,4.5579980996979e-06,2.32298251449731e-06,3.60280200150253e-05,3.15777239186334e-06,8.75192486976243e-05,1.2440875715024e-06,4.57042718805558e-06,1.30975235633656e-06,1.31414687018354e-06,6.66638790436597e-06,1.7521146478149e-06,1.14497487868772e-06,7.17624958145785e-06,1.73175312732778e-06,1.29941124166071e-05,2.84993781629678e-06,4.87936586359121e-06,1.93343686841315e-06,3.96627918093728e-06,4.55603344438683e-06,5.04920904987477e-06,0.000471279183819553,2.21530413176459e-06,7.28881055806913e-06,3.99420159991432e-06,3.10051808033055e-06,5.93030553430349e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74375544271234e-07,8.91428647591479e-06,3.21390840067561e-06,3.75575713001236e-06,6.09702930171427e-06,3.65725309422351e-07,4.65291811284503e-06,3.60329218676383e-07,4.66515464166255e-05,9.15274363517857e-05,2.67207437201454e-06,0.000125229993178119,1.06680612158878e-06,2.13107003561849e-05,4.59166937738627e-06,2.80016058890717e-06,2.07075563989885e-05,-1718.58814189123,0
0.794736842105263,1,0.334833352793508,0.150900354117084,0.957376509829869,9.7,1.5103873802896,0.460422724347763,0.255094904698999,0.000268819280137964,1,0.728929156249491,0.969539363355318,0.965124122695124,0.918083228682401,0.955433641370544,0.983344077522834,0.952221625410607,0.943456859889225,0.964655701381458,0.959114218119053,0.872644399386188,0.980039398378671,0.724370120963821,0.977824191583731,0.980608415807052,0.981829410457102,0.969446438302932,0.990275589665768,1.75742619927503e-06,1.86925898704327e-05,2.14477659269928e-06,2.93240910372153e-06,7.13408423035421e-05,1.5248921208957e-06,4.0029324729171e-06,7.97417624353031e-05,8.55135766028777e-06,1.83942447408053e-06,3.05877633310285e-06,0.0228676700426249,3.27939090469139e-06,3.80226650115207e-06,1.71474361786758e-05,1.10864027078252e-06,6.39571112509455e-06,1.01476414544205e-06,2.43975621102387e-06,6.77069999874815e-06,8.80760919178728e-06,2.08848760140458e-05,8.26858344906292e-07,3.64592683420363e-07,2.21969610136904e-06,1.43105840656134e-06,7.27374083747989e-05,3.73197987139339e-06,0.000146957867549656,1.58515994819966e-06,6.62495597991554e-06,6.34640089925308e-06,1.68595216163473e-06,9.1521201904957e-06,4.49747278683439e-06,1.6531654292325e-06,8.76380495783568e-06,2.06859632092863e-06,1.21798726347866e-05,2.5743518518918e-06,6.67213465899534e-06,6.04437666076725e-06,1.67521423707587e-06,3.04606264514329e-05,2.73344930704692e-06,0.000267599980516312,2.75078557778234e-06,6.6835851760706e-06,5.75116019079077e-06,2.94843462414157e-06,5.44079408834387e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2604606722602e-07,7.91142533896712e-06,4.59226124033558e-06,1.26135834147753e-06,3.78812721131383e-06,5.84821030771003e-07,1.30710069638379e-06,1.88685806798007e-06,2.90869706637928e-05,7.37389675835356e-05,3.39760229210329e-06,0.000162106594798369,8.11429102460521e-07,7.70351461720005e-06,6.34243092189676e-06,2.62308401958195e-06,1.282331581032e-05,-2942.99723124441,0
