"quawh","alpha","gamma","sigma","psi","g","R0IN","qua","qualow","rho","kappa","omega","S1_0","S2_0","S3_0","S4_0","S5_0","S6_0","S7_0","S8_0","S9_0","S10_0","S11_0","S12_0","S13_0","S14_0","S15_0","S16_0","S17_0","E1_0","E2_0","E3_0","E4_0","E5_0","E6_0","E7_0","E8_0","E9_0","E10_0","E11_0","E12_0","E13_0","E14_0","E15_0","E16_0","E17_0","I1_0","I2_0","I3_0","I4_0","I5_0","I6_0","I7_0","I8_0","I9_0","I10_0","I11_0","I12_0","I13_0","I14_0","I15_0","I16_0","I17_0","R1_0","R2_0","R3_0","R4_0","R5_0","R6_0","R7_0","R8_0","R9_0","R10_0","R11_0","R12_0","R13_0","R14_0","R15_0","R16_0","R17_0","J1_0","J2_0","J3_0","J4_0","J5_0","J6_0","J7_0","J8_0","J9_0","J10_0","J11_0","J12_0","J13_0","J14_0","J15_0","J16_0","J17_0","P1_0","P2_0","P3_0","P4_0","P5_0","P6_0","P7_0","P8_0","P9_0","P10_0","P11_0","P12_0","P13_0","P14_0","P15_0","P16_0","P17_0","loglik","loglik.se"
0.1,1,0.491408065408818,0.249696908318846,0.977630979823025,9.7,4.34145772676092,0.0773456649218072,0.00221234795350355,1,2.10569351506836,0.955973435483121,0.965303001134755,0.964898843650715,0.890286134416869,0.977538814351466,0.971564904383325,0.98223237068239,0.949458428275843,0.976845379011693,0.944411781122156,0.88994079142773,0.988723590173141,0.853788980336405,0.967614177521851,0.989597988373141,0.976194658094629,0.886395398544863,0.989803341257402,3.07915395341698e-06,1.64801716314783e-05,3.84141885741867e-06,2.38873712570123e-06,4.39787717398434e-05,1.81731013111576e-06,7.99681566832379e-06,4.07043677816613e-05,7.16093267140232e-06,4.92964432981097e-06,1.18460062664481e-06,0.00870986407174131,7.56545862883915e-07,2.41876085946502e-06,8.82837248225495e-06,2.2451308118591e-06,1.38707027237771e-06,3.41906896262414e-07,1.53837997649556e-06,6.50077484468471e-06,5.50709665944207e-06,3.49787183389916e-05,9.81245425753535e-07,3.61089712990935e-07,4.8631494426425e-06,1.27329480793654e-06,6.80873871964612e-05,5.12368752075842e-06,0.000183648839655202,5.7234150056812e-07,4.78304201158011e-06,3.54260037483501e-06,2.30125789961695e-06,1.42887556952641e-05,2.31525351292565e-06,6.53620093843209e-07,3.50839693034591e-06,1.45186973003969e-06,1.14684922961718e-05,3.28759373966563e-06,5.7503321061994e-06,6.06275327292175e-06,6.73512596602937e-06,1.51129703026196e-05,4.63773878779487e-06,0.000496985074582277,3.3943109750277e-06,1.20499965000482e-05,5.61157700160487e-06,2.16007490782513e-06,5.58276116993407e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63180997540811e-07,4.72893130913011e-06,3.28215720631943e-06,1.45848010035551e-06,1.31816992397836e-05,3.52475855041282e-07,1.67916148434135e-06,5.01653303261792e-07,2.15678819885201e-05,5.85682438238711e-05,1.79173001865763e-06,0.000104010394357266,5.04844265500638e-07,1.47389171268378e-05,6.84616262910873e-06,1.50872839744103e-06,8.39566835851774e-06,-3718.72827932564,0
0.163157894736842,1,0.334517623379709,0.0706629324032562,0.924559743807607,9.7,2.4291437882461,0.425700328083662,0.00112279550571945,1,1.00347798758765,0.923471995804508,0.976126098549206,0.973854172736546,0.923448872549562,0.930401546499316,0.978781804626511,0.974220130664034,0.966400408058612,0.988485788719216,0.980294956422848,0.914291568291236,0.963084247666647,0.770040128234736,0.97916375339998,0.972061719450664,0.969053037358114,0.889756424311585,0.968021832748345,9.16945020056005e-07,2.43903355337814e-05,2.10863372341569e-06,2.89775580542781e-06,5.74493651051938e-05,9.50252619589481e-07,6.83206685700805e-06,3.0522533158994e-05,7.34383737323229e-06,4.90697065490253e-06,9.01386530072878e-07,0.0201339700414621,7.7266492230709e-07,2.3569861928257e-06,1.75474256165405e-05,2.5738236515819e-06,1.38767436703191e-06,6.67977918834755e-07,2.53683078611439e-06,6.24335507236443e-06,4.42545413563162e-06,1.49426312549091e-05,5.5804459057946e-07,1.12313038664932e-06,6.2058587132368e-06,9.94349442032451e-07,3.99719098695846e-05,4.2740085981584e-06,0.000248164903460947,1.9649922742026e-06,3.34767193908072e-06,1.81426015464573e-06,2.21163399081012e-06,2.00252409751561e-05,1.49388887899468e-06,2.42171813873593e-06,8.71723251806215e-06,2.24619942511763e-06,3.37372786645225e-06,5.70233295959724e-06,2.11730521131044e-06,2.32539076160014e-06,8.91667536632537e-06,1.94442924552233e-05,2.50467548444019e-06,0.000622695291050252,3.64660498443462e-06,6.40579227610039e-06,2.07891698730932e-06,3.61282771997962e-06,5.3314384335447e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25419739742409e-07,9.16286764765765e-06,2.26677249088681e-06,3.37093543723967e-06,6.43483457967943e-06,8.31453885417881e-07,5.29298817226997e-06,5.09171135296639e-07,1.88652096645927e-05,6.37685372750452e-05,2.49175809350109e-06,8.9471100674951e-05,1.73196458115666e-06,1.40546690774221e-05,6.63159140606467e-06,1.19179177136793e-06,9.98128059321334e-06,-1724.23677245336,0
0.147368421052632,1,0.336526242357628,0.0930734215693302,0.974886659127261,9.7,2.34396553814469,0.376913958313415,0.00213322426205243,1,2.43467963052402,0.950227235713191,0.978696121113182,0.977747851261091,0.918179765453579,0.92416318289547,0.972147528912931,0.976328479536029,0.956791670388815,0.988662067732675,0.969848479045971,0.898649248959196,0.970341055580109,0.802508876057275,0.968187767962907,0.967731855427324,0.97121400890846,0.886307166016891,0.96352804489036,7.03370402960185e-07,2.10697849620516e-05,2.83918439910114e-06,2.47993393485814e-06,5.84316886214285e-05,1.01408634181581e-06,5.23288326506539e-06,2.20842911363162e-05,9.29298235842646e-06,6.92051736386252e-06,6.63812583266877e-07,0.0146605217396179,8.37403700814178e-07,3.14378813402743e-06,1.13079390090854e-05,1.45922450715632e-06,1.63635679379167e-06,7.75813247814434e-07,2.72494328585541e-06,6.30367140857153e-06,4.35416587743256e-06,1.4764168718909e-05,3.22261652012887e-07,1.14394232477385e-06,9.7275217354588e-06,1.40005416893782e-06,4.41380192385152e-05,4.50983628538279e-06,0.000275878202803011,1.72381986141341e-06,4.27965656012358e-06,2.96361316941892e-06,2.13776387110986e-06,1.28495036204023e-05,9.54658222894676e-07,2.21581995728961e-06,5.21661648475294e-06,2.37476763148556e-06,4.4733156289982e-06,3.69468531421312e-06,2.23093533485155e-06,1.55412874783058e-06,9.68376187388863e-06,3.11008323869068e-05,2.63156110472148e-06,0.000619256915637534,3.64581109938677e-06,7.76018532345498e-06,2.69885691359132e-06,3.32429439690195e-06,4.85095487227688e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60603284486051e-07,9.23005360832863e-06,2.44645459292041e-06,3.11706201849335e-06,5.10680024393652e-06,8.80762465442552e-07,4.36759774602955e-06,9.68604925709092e-07,1.7010252637717e-05,6.96941738118867e-05,2.33498682979795e-06,8.24316513563758e-05,2.03779576255292e-06,2.01677540826409e-05,5.44026912597935e-06,1.67730895114998e-06,8.60396470774642e-06,-2344.86403038335,0
0.115789473684211,1,0.331875456748753,0.0711688152098467,0.928692780044479,9.7,2.85783099764938,0.351690230960779,0.00337022305191802,1,3.02948570749887,0.878083592923816,0.969491110330904,0.983686373229227,0.887328530464763,0.940158060637391,0.982666056580389,0.980279987027929,0.979220062658046,0.953926364625204,0.96472329935449,0.927161993892872,0.978449537313793,0.883216969491673,0.966786789517627,0.969183903394097,0.951629591590141,0.969904670788007,0.978220355041364,1.31543964973444e-06,1.89129592523774e-05,1.4508184715095e-06,3.84381362562981e-06,5.02304656496677e-05,4.9993196429393e-07,4.26105862150982e-06,6.22370135226073e-05,2.54958454192769e-06,2.4897587618876e-06,1.23342860895386e-06,0.0219516701442694,4.89991138755463e-06,1.3943122863858e-06,1.05572697234793e-05,1.09124059361303e-06,6.99043911835136e-06,1.30349827827341e-06,4.08089299976197e-06,5.77072626370757e-06,7.25860746573834e-06,1.47734939426019e-05,1.01021474010515e-06,3.64707388595243e-07,6.38693629372693e-06,9.13159085178176e-07,6.13930556097393e-05,6.21253698388772e-06,0.000191088789855953,1.13034637044084e-06,6.42788450855805e-06,2.96554773878445e-06,1.38753491671862e-06,1.16714072630693e-05,2.23788056000862e-06,1.14951473328353e-06,5.57848031772722e-06,2.54381321013194e-06,1.4060537837619e-05,5.32679777083751e-06,6.0075859084214e-06,6.97112874872393e-06,6.0568864531855e-06,1.85714831623498e-05,3.09481336815473e-06,0.000444297893342818,2.3341376529169e-06,7.20010502626456e-06,3.72716134392903e-06,3.28600316592927e-06,2.49698368908807e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83026405840146e-07,1.15257825887815e-05,1.1317278323222e-06,2.88035661651749e-06,2.77088988455027e-06,2.43118439491348e-07,2.27855535469024e-06,5.0361692455252e-07,1.95289639451591e-05,7.48556864583903e-05,1.19729308077813e-06,4.67730664621961e-05,4.32082880019307e-07,1.35960869855097e-05,2.30995418477312e-06,1.98514313186299e-06,5.01639563890661e-06,-3573.8565442534,0
0.210526315789474,1,0.334825584924169,0.097970860870247,0.918638968529886,9.7,1.94225331862884,0.442413354301791,0.000567801648422975,1,2.01877397742738,0.976971013349479,0.96548041907475,0.948233634545229,0.91038793981931,0.930358516805275,0.986823469900963,0.978565202229002,0.940635878317875,0.948985716902018,0.972905363504506,0.843316462246967,0.971648980384878,0.70405460078703,0.968525525089159,0.986830325646487,0.976084766297054,0.974350696099729,0.990685597672772,2.61663453690128e-06,2.55812605071636e-05,2.65795121680444e-06,2.97447979621545e-06,6.15179607227397e-05,1.90380397283624e-06,3.83099067139161e-06,7.93895069840788e-05,5.73876872223656e-06,2.04132043272015e-06,1.14146118259373e-06,0.0171964025063583,1.54045052568766e-06,2.55555612482772e-06,1.36245769725692e-05,1.09332480890313e-06,6.98401672710003e-06,7.05027538507213e-07,3.3720412111819e-06,7.2104695500613e-06,5.9351447402865e-06,1.98507754802794e-05,1.02849294232328e-06,3.17164487416551e-07,3.23728406400085e-06,1.24854800159266e-06,6.47827489663865e-05,6.17885463887288e-06,0.000170005186840156,1.41445490431549e-06,6.87590557926989e-06,3.63626673587802e-06,2.80642972199159e-06,9.77540849528855e-06,3.83457753160242e-06,1.63449504574059e-06,4.9625399260087e-06,2.47283990489579e-06,1.08243472139177e-05,1.35180435327688e-06,5.02622043930905e-06,5.7203995237169e-06,2.93721884321198e-06,3.31835078353531e-05,2.70419759759456e-06,0.000229460228813646,3.86653859583514e-06,7.94279448801498e-06,4.02539825189278e-06,3.72654854964063e-06,6.61035984305621e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69447733088889e-07,1.32854466985065e-05,2.72674210181445e-06,8.63295890369423e-07,1.5064623898593e-06,1.0144416334586e-06,1.10356562182027e-06,1.18747647824701e-06,2.41816011454637e-05,9.7947164422657e-05,3.05181987178976e-06,0.000138358073163674,7.8227023481809e-07,1.43576637895826e-05,4.20125164961506e-06,2.4058802667691e-06,9.1102204220152e-06,-2326.60348528409,0
0.115789473684211,1,0.166196045786979,0.105559808304561,0.862651104094822,9.7,3.03146006246558,0.371634269713911,0.00452616515970423,1,5.6596196569129,0.892717233249987,0.975986517557021,0.967839632267474,0.915477003408747,0.939625994961226,0.964396967763572,0.952742072679917,0.976685078585154,0.987483681439393,0.963770275787619,0.914056418215561,0.982460386922711,0.697943297791768,0.946805714154122,0.988720654847042,0.933428802890932,0.878117295121594,0.984137196319478,2.73797988083988e-06,1.93501385390719e-05,1.95954597029193e-06,1.61671161892542e-06,3.415855355464e-05,1.87888233620452e-06,3.27329437326348e-06,2.91274634629649e-05,3.78053857269171e-06,5.70683852785083e-06,1.69812202328494e-06,0.0167504222038485,3.33377804879417e-06,1.3379543165631e-06,1.75899316558554e-05,1.25418291782579e-06,2.51862893585404e-06,7.6576069464685e-07,3.3281689799316e-06,9.11281774218895e-06,4.44632111667955e-06,2.20678541098985e-05,5.88429560008979e-07,4.91965039800345e-07,4.13644795845042e-06,1.51387761301956e-06,4.70692762970822e-05,2.49678459812472e-06,6.47494853468044e-05,2.18290435811679e-06,3.9026999407958e-06,3.73719278906767e-06,1.78123052610895e-06,1.06501111416976e-05,2.26602614318052e-06,1.6211683462354e-06,4.7535407300133e-06,3.35014350561022e-06,7.78653327694536e-06,1.03499214417685e-05,5.58605266709791e-06,7.86096176591869e-06,2.75710022581926e-06,3.27193944855625e-05,3.4012204182534e-06,0.000413341684941713,1.29241327656136e-06,1.16765188658047e-05,4.31386051508709e-06,3.79332099772728e-06,1.1221213422739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20321040072745e-07,7.51028701665549e-06,3.72442071242215e-06,9.5946661496867e-07,2.02059283732677e-06,9.20940637081518e-07,2.0267452529749e-06,6.73546473207745e-07,3.16684195362271e-05,7.30299730600314e-05,9.82361060903145e-07,0.000149366678186685,6.47470555999823e-07,1.58832307277961e-05,1.89447736665044e-06,3.85418098556438e-06,2.10198187045168e-05,-1724.49706070047,0
0.1,1,0.335641861322953,0.0732544840941534,0.984204420814449,9.7,2.63655538989304,0.324438769391975,0.00513928023739955,1,3.10016086101078,0.990815577996502,0.970506400633539,0.967602473488273,0.935788135281477,0.943529098251148,0.960805908590473,0.974815209226427,0.92699263584802,0.983091091601258,0.985889341071424,0.949247306032023,0.978777268541817,0.840774386594003,0.979491270579114,0.993514327002008,0.949100827951413,0.912593263226475,0.958241760604496,1.93278805016318e-06,2.02618769993438e-05,3.57300727659224e-06,2.43447971519001e-06,4.46556545278781e-05,2.85021079022226e-06,2.89909520265112e-06,0.000104443348721423,5.73847048122063e-06,5.92036946274065e-06,3.89851044526327e-07,0.0171436014133197,5.20150917268403e-06,3.49171474944696e-06,1.18305360863075e-05,8.29528207647933e-07,3.69660740911689e-06,1.27442702321911e-06,4.49101772345844e-06,8.41743451611952e-06,5.58411901902789e-06,2.77621476291319e-05,3.14176906690431e-07,1.14317443006315e-06,3.72771336093832e-06,6.22842341344825e-07,4.16354780188663e-05,5.65183381364053e-06,0.000142514260587128,1.43277976699107e-06,2.88237209412836e-06,5.71769136407174e-06,1.4734688810812e-06,6.89288729851079e-06,2.13476296312515e-06,1.5008773520292e-06,5.40296741363902e-06,2.36030829179339e-06,9.3185932688445e-06,7.25968427916341e-06,1.34272519066746e-06,4.63584943737215e-06,4.34283459568311e-06,1.30212613211127e-05,2.24794709745445e-06,0.000160226314125953,2.20044410803877e-06,9.77563600597456e-06,2.22957519600463e-06,2.54320250349291e-06,4.08403592443639e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20301012147505e-07,9.20396203413712e-06,2.3101321506914e-06,3.44912346609082e-06,4.99759673404674e-06,4.48877376773606e-07,5.20894471503371e-06,9.22749480847799e-07,3.0231182432435e-05,6.85667840943367e-05,4.22851816082692e-06,0.000117004710901286,1.20190343079666e-06,2.33454546131806e-05,5.779272298484e-06,1.61370008044834e-06,8.76206749323336e-06,-2372.49548703429,0
0.163157894736842,1,0.336659488024298,0.100582892733744,0.957111024286,9.7,2.28601054976524,0.380184881825517,0.00130147289675298,1,3.25295466150851,0.996224296036838,0.944905907925242,0.981353290547132,0.919123741096701,0.946741726851833,0.97730709340753,0.991129862873074,0.938102407136211,0.98001128750852,0.963905735347536,0.881940309981106,0.971291063380734,0.866589831777611,0.937342810021301,0.976025257721682,0.965671781068542,0.921221355753372,0.978256465570443,8.49382569009682e-07,1.54650728472561e-05,2.3063035493559e-06,1.44536992289044e-06,4.94960267026292e-05,3.75040608873612e-07,4.66642617730658e-06,9.10824959762202e-05,6.37037994746255e-06,6.16993830665931e-06,1.42825403523544e-06,0.0148350037152679,1.79272741885002e-06,2.80543552319041e-06,1.47307888170851e-05,1.79887579576881e-06,3.48466091243742e-06,9.51821345605372e-07,5.13937650184663e-06,1.31774002796176e-05,4.54741931318862e-06,9.90142839148178e-06,7.34219001615101e-07,8.33592200795867e-07,6.01135337243514e-06,2.36968931684977e-06,4.04689721315369e-05,3.51950603088284e-06,0.000146993190840945,1.41042440947558e-06,3.81384574520654e-06,4.51463583939676e-06,3.59553426073549e-06,2.18587618730075e-05,3.9438761552715e-06,9.45786833536667e-07,4.80940528861102e-06,3.01306914428055e-06,3.4341243421122e-06,4.23415544941222e-06,3.11639689003122e-06,5.32242612137507e-06,8.11533473102454e-06,2.05012259588335e-05,3.66396689181393e-06,0.000131431209547953,3.25838877419036e-06,9.92802941133795e-06,3.67825227248611e-06,3.0338678708907e-06,9.81344921040715e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02153970928713e-07,6.6515134114843e-06,1.22549927335259e-06,2.33638018082279e-06,3.11085670296903e-06,2.72554953038604e-07,1.1253235541607e-06,7.78633056130723e-07,3.14397015704765e-05,6.62773620188796e-05,2.90898923736543e-06,7.92152655623932e-05,8.1000914258558e-07,9.82843250916107e-06,5.09669136413059e-06,3.81703413454538e-06,1.77050335524471e-05,-2956.65691412949,0
0.163157894736842,1,0.333298127995865,0.0937052969540995,0.976638802168579,9.7,2.23853768327636,0.401329837751277,0.0012637621237647,1,2.41205867328555,0.951983943776122,0.980901817712801,0.984098060956629,0.922367480111544,0.978677626592749,0.982973618143526,0.969511488161209,0.956312940434253,0.975891992271347,0.96116351891558,0.889051450918021,0.992402239906909,0.706640433184814,0.968592334839456,0.981901127225533,0.95308962346157,0.950705944542676,0.977913858071754,1.92557047237334e-06,3.90539909311688e-05,5.09959251319586e-06,3.36288444340125e-06,1.99143838700672e-05,1.65730399857836e-06,6.81589590233197e-06,6.85659698430579e-05,6.5745899257789e-06,3.21301708906795e-06,1.00285702906137e-06,0.0149012924812586,1.95270160389251e-06,1.34902796311883e-06,1.97651925103961e-05,1.66468774698003e-06,9.33342239953528e-06,6.30526639646078e-07,2.58289580032208e-06,3.97313576415047e-06,2.08668766227666e-06,1.55722897672243e-05,6.81172955365434e-07,4.21295304625194e-07,8.29464571898107e-06,2.13837294619733e-06,4.38244725338871e-05,3.56072952492397e-06,4.6270915502186e-05,7.28391361636604e-07,4.60861574789061e-06,3.88590736087276e-06,2.52371741483912e-06,1.50422327467068e-05,2.8812929029568e-06,2.62785898319512e-06,2.83578809012959e-06,1.2314845180568e-06,1.45707338533181e-05,4.06490707111364e-06,3.57579293212136e-06,9.99188679364633e-06,7.26672895573665e-06,2.94142176618389e-05,1.16065543995647e-06,0.000372255907645623,5.63558445594465e-06,5.28335470540196e-06,5.11600355869352e-06,1.36763883255308e-06,7.17390893580791e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48296744747816e-07,1.32507617126197e-05,8.30179138557083e-07,1.55929457510486e-06,8.45336278486394e-06,6.46087827840589e-07,3.39624386357217e-06,5.64092245461598e-07,3.22145362578545e-05,8.06344930041993e-05,2.53022900452963e-06,6.47514391949717e-05,4.63029617015469e-07,1.41038749589417e-05,9.16213635955134e-06,3.41938311494674e-06,2.01022907361459e-05,-1728.3641254727,0
0.115789473684211,1,0.335671126694255,0.0890182552578058,0.972340627881804,9.7,2.30296330623284,0.330870518624202,0.00414057878729612,1,2.96245638715783,0.948158417609657,0.98034027667091,0.980774654426448,0.888257834310737,0.968139372774141,0.981253757808674,0.947648966222814,0.962550770356502,0.96347206064318,0.958116137577299,0.868746469502567,0.992612201242529,0.650363961016148,0.967711950186812,0.975755934356338,0.971006934697134,0.939892698940987,0.981240892554965,1.93102013693079e-06,3.21072463261209e-05,4.77576546128261e-06,3.35605331948868e-06,2.62962392063433e-05,1.50190684985601e-06,6.93221519013867e-06,5.54515988191041e-05,8.64144888272723e-06,3.028987565817e-06,1.07264900797105e-06,0.0133609954263109,1.92684333274386e-06,2.4287947723675e-06,1.4555666289595e-05,2.55483716161072e-06,8.35434493450614e-06,8.05697701370518e-07,2.05582745342709e-06,4.38786425795698e-06,2.69586590937892e-06,1.35927963382058e-05,1.01814523283004e-06,4.63382322183095e-07,7.67920476497808e-06,2.1523524813059e-06,3.62440050433931e-05,3.65819339751988e-06,5.30626417558719e-05,1.23848294402407e-06,6.12131951058523e-06,3.37584834435478e-06,1.59898582278041e-06,1.31093254502655e-05,3.0886210333906e-06,2.28742924346086e-06,3.68221751200345e-06,1.60679508363013e-06,1.45540503427307e-05,3.99346790022249e-06,4.83642171072214e-06,7.616537169573e-06,1.03250226127095e-05,2.14676616153175e-05,1.51062149116863e-06,0.000294508321547724,5.42847700363493e-06,5.83275813525356e-06,5.16375448744353e-06,1.30400296284228e-06,6.46663704413307e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72344320371187e-07,1.43844864846849e-05,1.09840711282598e-06,2.11326859003956e-06,1.18319707288874e-05,6.79227331150037e-07,2.85265542819488e-06,6.63109434631381e-07,3.73091891472416e-05,6.98504983961189e-05,1.8309887538987e-06,7.08507796330176e-05,3.4183763133497e-07,1.37730561517219e-05,1.10381592845634e-05,2.97981171390618e-06,1.78442099076076e-05,-1742.96066417393,0
